having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
Yes,Long,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,Low,Yes,Some links,Reported,Phish
No,Long,No,No,No,No,More than one,Short,Yes,Yes,No,Yes,Medium,Low,Empty,Yes,No,No,Yes,Yes,Yes,Yes,,No,High,High,No,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,,,Low,Yes,Two links and above,Reported,Phish
No,Short,Yes,,Yes,No,None,Short,No,No,Yes,No,,High,Empty,No,Yes,No,Yes,Yes,No,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,Yes,Medium,Low,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,More than one,Long,Yes,Yes,Yes,No,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,,No,More than one,Short,Yes,Yes,Yes,Yes,High,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,Low,,Some links,Not reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,Yes,Yes,High,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,,No,None,Short,Yes,Yes,Yes,Yes,High,Medium,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,,High,,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,,No,High,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Low,Low,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,No,Medium,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Short,No,No,Yes,No,Medium,High,,No,Yes,No,Yes,Yes,No,Yes,Short,Yes,,High,,Two links and above,Reported,Phish
No,Short,Yes,,Yes,No,More than one,Long,Yes,Yes,Yes,No,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Low,High,Yes,Some links,Not reported,Phish
No,Long,No,Yes,No,No,More than one,Short,Yes,Yes,No,Yes,High,Low,,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,No,High,Low,No,No links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,High,,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Long,No,Yes,,,Medium,Medium,Empty,Yes,Yes,No,No,Yes,No,Yes,Long,,,High,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,No,Medium,Medium,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,Yes,More than one,Long,Yes,Yes,,No,High,,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,,High,Yes,Some links,Not reported,Phish
No,Long,,Yes,No,No,More than one,Short,Yes,Yes,No,Yes,,Low,,Yes,No,No,Yes,Yes,Yes,Yes,Long,No,High,Low,No,Two links and above,Reported,Phish
No,Short,No,Yes,No,Yes,More than one,Short,Yes,Yes,No,Yes,High,Medium,Some,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,,No,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
No,Long,,No,Yes,Yes,More than one,Long,No,No,,No,Medium,Low,Some,No,Yes,No,No,No,No,No,Long,Yes,High,High,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,High,Yes,Some links,Reported,Phish
Yes,,Yes,,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,No,,Medium,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,,Medium,,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,,Yes,High,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,,,Some links,Not reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,,Medium,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,,,Yes,Yes,Yes,More than one,Short,Yes,Yes,,Yes,High,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Medium,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,High,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
No,Short,No,No,No,No,One,Short,Yes,Yes,No,Yes,Medium,Low,Some,No,No,No,Yes,Yes,Yes,Yes,Short,No,High,High,Yes,No links,Reported,Phish
Yes,,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,Yes,Yes,High,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,,Yes,,No,More than one,Short,Yes,Yes,,Yes,Medium,High,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,No,Two links and above,Reported,Phish
Yes,,Yes,,,Yes,More than one,Short,No,No,Yes,,High,Low,Empty,No,Yes,No,Yes,Yes,No,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,No,No,No,Yes,More than one,Short,Yes,Yes,No,Yes,High,High,Empty,No,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,High,Medium,Empty,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,High,,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,One,Long,Yes,Yes,Yes,No,Medium,,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Long,Yes,Yes,Yes,No,Medium,Medium,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,Yes,High,Low,,Some links,Reported,Phish
Yes,Short,No,No,No,Yes,More than one,Short,Yes,Yes,No,No,Medium,Medium,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,High,High,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Long,,High,Low,Yes,Some links,Reported,Phish
No,,No,Yes,No,No,One,Short,Yes,Yes,No,Yes,Medium,Medium,Empty,Yes,No,No,Yes,Yes,Yes,Yes,,No,High,Low,No,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,Yes,,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,Low,High,Yes,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,No,Medium,High,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,High,Yes,Two links and above,Reported,Phish
No,Long,No,No,No,Yes,More than one,Short,Yes,Yes,,No,Medium,High,Empty,,No,No,Yes,Yes,Yes,Yes,Long,No,High,High,No,Two links and above,Reported,Phish
No,Short,No,Yes,No,Yes,One,Short,Yes,Yes,No,Yes,Medium,Medium,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,,No,Two links and above,Reported,Phish
No,Long,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,,Some links,Reported,Phish
No,Short,No,Yes,No,No,More than one,Long,Yes,Yes,No,Yes,Medium,High,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,Short,No,High,Low,No,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,One,Long,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Medium,High,,Two links and above,Reported,Phish
Yes,Short,No,,No,No,One,Short,Yes,Yes,No,Yes,Medium,Low,Some,No,No,No,Yes,Yes,Yes,Yes,Short,No,High,High,Yes,No links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,One,Short,Yes,Yes,Yes,Yes,High,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Medium,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,No,Medium,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,High,Yes,Two links and above,Reported,Phish
No,Short,Yes,No,Yes,No,More than one,Short,No,Yes,No,Yes,Medium,Low,Some,No,No,No,No,Yes,No,No,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,Low,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Long,Yes,Yes,Yes,No,More than one,Short,No,Yes,Yes,Yes,Medium,High,Empty,Yes,Yes,No,Yes,Yes,No,Yes,Long,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Short,,Yes,,No,More than one,Long,Yes,Yes,Yes,Yes,,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Medium,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,,Low,Yes,No links,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Low,Low,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,High,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,Yes,,Yes,No,More than one,Long,No,Yes,Yes,No,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,No,Yes,Short,Yes,Medium,High,Yes,Two links and above,Reported,Phish
Yes,,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,No,Medium,High,Empty,,Yes,No,Yes,Yes,Yes,Yes,Short,,Low,Low,Yes,Two links and above,Reported,Phish
Yes,,Yes,Yes,,No,None,Long,Yes,Yes,Yes,No,Medium,High,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,,No,Yes,No,No,More than one,Short,Yes,Yes,,Yes,Medium,High,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,,Yes,,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,No,Medium,Medium,Different,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,,High,,Yes,Two links and above,Reported,Phish
No,,Yes,Yes,Yes,No,More than one,Long,No,Yes,Yes,No,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,No,Yes,Short,Yes,Medium,High,Yes,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,Yes,Medium,Low,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,,Yes,Yes,Yes,Yes,More than one,Long,Yes,Yes,,No,High,High,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,No,Medium,Medium,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,,No,None,Short,No,Yes,Yes,Yes,,Low,Different,Yes,Yes,No,No,Yes,No,Yes,Long,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,No,No,,No,None,Long,Yes,Yes,No,No,High,Low,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,High,No,Two links and above,Reported,Phish
No,Long,Yes,Yes,Yes,Yes,One,Short,Yes,Yes,Yes,Yes,High,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,No,Yes,,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,No links,Reported,Phish
No,,No,Yes,No,Yes,One,Short,Yes,Yes,No,Yes,Medium,Low,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,High,,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,,Medium,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
No,Short,,No,Yes,No,More than one,Short,No,No,Yes,Yes,Medium,High,Some,No,Yes,No,Yes,No,No,No,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,,Yes,High,,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Medium,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,,Yes,No,More than one,Short,Yes,Yes,Yes,,Medium,Medium,Empty,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,No,Yes,Yes,Yes,,Medium,Empty,Yes,Yes,No,Yes,Yes,No,Yes,Short,Yes,Medium,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,No,Yes,No,More than one,Long,Yes,Yes,No,No,Medium,Low,Some,No,No,No,Yes,Yes,Yes,Yes,Short,Yes,Low,Low,Yes,No links,Reported,Phish
Yes,,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,,Medium,,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,,Yes,Some links,Reported,Phish
No,Short,No,Yes,No,No,More than one,Short,Yes,Yes,No,,Medium,Low,Different,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,No,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Short,No,Yes,No,Yes,Medium,Medium,Empty,Yes,Yes,No,No,Yes,No,Yes,Long,Yes,High,High,Yes,No links,Reported,Phish
No,Short,Yes,Yes,Yes,Yes,More than one,Short,No,No,Yes,Yes,,Medium,Empty,No,Yes,No,No,Yes,No,Yes,Short,Yes,High,,Yes,Two links and above,Reported,Phish
No,Long,Yes,,Yes,No,One,Short,No,Yes,Yes,Yes,Medium,Medium,,Yes,Yes,No,No,Yes,No,No,Long,Yes,,,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,No,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,,Medium,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,,No,One,Short,Yes,Yes,Yes,Yes,High,Low,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Long,Yes,High,High,,Some links,Reported,Phish
No,Short,No,Yes,No,No,One,Long,Yes,Yes,No,No,Medium,High,Some,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,High,No,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Short,No,Yes,,,,Low,Different,Yes,Yes,No,No,Yes,No,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
No,Long,Yes,No,Yes,No,More than one,Short,No,No,,Yes,Medium,Low,,No,Yes,No,No,No,No,No,Long,,High,Low,Yes,Two links and above,Reported,Phish
Yes,Short,,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,,No,More than one,Short,No,Yes,Yes,Yes,High,High,Empty,Yes,Yes,No,Yes,Yes,No,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,,Yes,Medium,Medium,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,,,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Empty,No,Yes,Yes,Yes,Yes,Yes,Yes,Long,Yes,Medium,,Yes,Some links,Reported,Phish
No,Long,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,Yes,Yes,Low,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,Two links and above,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Medium,High,Yes,Two links and above,Reported,Phish
No,Short,No,,No,No,One,Long,Yes,Yes,No,No,Medium,High,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,,Two links and above,Reported,Phish
No,Long,,Yes,Yes,No,More than one,Short,No,No,Yes,Yes,Medium,High,Different,No,Yes,No,Yes,Yes,No,No,Long,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,,High,Low,Some,,Yes,Yes,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Long,Yes,,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,,High,Low,Yes,Some links,Not reported,Phish
No,Short,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,,Yes,,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,Low,Yes,Two links and above,Reported,Phish
Yes,,Yes,,Yes,No,More than one,Short,No,No,Yes,Yes,Medium,High,Empty,No,Yes,No,No,No,No,No,Long,Yes,Medium,High,Yes,Two links and above,Reported,Phish
No,Short,No,Yes,,No,More than one,Short,Yes,Yes,No,Yes,High,High,Empty,Yes,No,No,Yes,Yes,Yes,Yes,Short,No,High,Low,No,Two links and above,Reported,Phish
No,,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,,Medium,Medium,Some,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,No,,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,Short,,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,No,Medium,Low,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,,Medium,Low,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,,No,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,,High,,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,Yes,Yes,High,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,Low,Yes,Some links,Reported,Phish
No,Short,,Yes,Yes,Yes,More than one,Long,Yes,Yes,Yes,No,High,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Low,High,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,,High,High,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Long,Yes,Yes,No,No,Medium,High,Different,No,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,Low,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,,Some links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,Medium,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,,No,None,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,,High,Low,Yes,Some links,Reported,Phish
Yes,Short,,Yes,Yes,Yes,One,Short,Yes,Yes,No,,High,,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,Yes,Yes,High,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Medium,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Long,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,,High,Yes,Two links and above,Reported,Phish
Yes,Short,,Yes,Yes,No,One,Long,Yes,Yes,,Yes,Medium,Medium,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Two links and above,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,High,,Different,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
No,Long,Yes,Yes,No,No,More than one,Short,No,Yes,No,Yes,Medium,High,Empty,Yes,Yes,No,No,Yes,No,Yes,,Yes,,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,,Yes,High,Medium,Empty,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,High,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,No links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,Medium,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,,Medium,Low,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Long,Yes,Yes,Yes,No,Medium,,Different,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
No,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,No,High,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,Low,High,,Two links and above,Reported,Phish
No,Short,,Yes,Yes,Yes,One,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,No,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,High,Low,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Two links and above,Reported,Phish
